background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,22.346,-2.786,0.111,0.806,2
0,34.932,-2.982,0.064,0.72,3
0,20.883,2.91,0.125,0.78,3
1,24.739,-3.382,0.103,0.808,2
1,35.405,-3.478,0.056,0.845,2
0,31.72,3.019,0.058,0.857,2
0,20.582,-2.22,0.104,0.416,9
1,25.08,3.16,0.1,0.504,5
0,28.543,-2.668,0.076,0.655,3
0,24.306,1.121,0.077,0.842,5
0,29.993,2.774,0.087,0.682,3
1,351.568,0.484,0.002,0.985,2
1,57.633,-2.8,0.028,0.748,3
1,106.603,2.749,0.005,0.993,2
1,81.542,2.771,0.015,0.878,3
0,23.867,-1.943,0.083,0.578,4
1,29.788,-3.437,0.084,0.72,2
1,58.539,-3.017,0.042,0.791,2
1,69.545,-2.976,0.039,0.726,2
0,21.95,0.843,0.109,0.763,4
1,26.149,-2.937,0.115,0.712,2
1,30.249,3.334,0.067,0.65,3
1,55.661,2.954,0.014,0.966,3
1,37.916,3.035,0.058,0.69,4
1,20.433,2.48,0.138,0.639,5
0,20.03,-0.94,0.093,0.63,4
1,76.786,2.848,0.036,0.742,2
1,35.474,-3.549,0.041,0.913,2
1,20.713,-3.683,0.13,0.711,2
0,20.193,3.493,0.123,0.71,2
0,27.622,1.324,0.076,0.783,4
0,31.544,-3.588,0.098,0.72,2
0,20.28,1.311,0.147,0.455,6
0,22.46,-0.297,0.099,0.707,3
1,29.368,-4.22,0.093,0.722,2
1,47.352,3.324,0.049,0.812,3
0,20.409,1.895,0.099,0.497,7
1,20.368,-3.304,0.108,0.514,4
0,21.076,1.049,0.126,0.429,8
0,23.799,-1.129,0.083,0.644,6
1,25.454,-3.266,0.125,0.708,2
1,118.411,2.899,0.02,0.811,2
0,20.832,1.35,0.093,0.739,6
1,74.211,2.923,0.022,0.893,2
1,110.442,-3.523,0.01,0.953,2
1,25.395,-3.259,0.114,0.515,4
1,135.685,2.547,0.005,0.979,2
1,22.145,-4.434,0.114,0.824,2
1,24.874,-2.435,0.119,0.438,8
1,25.614,3.366,0.099,0.784,3
0,21.159,-2.592,0.106,0.831,3
1,31.671,3.631,0.084,0.717,2
1,80.702,2.991,0.032,0.709,2
1,33.185,-4.184,0.054,0.878,2
1,24.057,3.706,0.104,0.791,2
1,28.0,3.071,0.096,0.767,2
0,20.279,-1.323,0.122,0.519,5
1,36.04,-2.983,0.038,0.945,2
1,24.396,3.083,0.097,0.574,4
1,22.176,-2.22,0.109,0.4,8
0,25.361,-2.575,0.087,0.668,5
0,23.986,-1.905,0.116,0.371,11
1,37.592,2.807,0.035,0.949,2
1,25.236,-3.432,0.093,0.698,3
0,23.284,-1.625,0.088,0.541,6
1,73.337,2.576,0.007,0.991,2
1,31.999,2.824,0.05,0.804,3
0,23.276,0.324,0.082,0.659,5
1,102.851,2.567,0.006,0.988,2
0,20.88,-0.434,0.119,0.442,6
0,47.02,1.24,0.039,0.643,7
1,558.331,0.888,0.0,0.999,2
0,22.08,4.438,0.1,0.787,2
1,20.676,4.01,0.139,0.71,2
1,27.948,-3.612,0.062,0.903,2
1,43.976,3.121,0.036,0.928,2
0,24.498,-2.24,0.101,0.512,10
1,25.025,3.227,0.103,0.614,3
0,20.362,-2.801,0.112,0.653,3
0,20.822,2.343,0.116,0.403,8
0,20.561,-3.516,0.121,0.739,2
1,43.097,-3.352,0.042,0.914,2
1,84.583,3.241,0.019,0.919,2
0,20.844,0.467,0.117,0.514,4
1,24.797,3.848,0.094,0.625,3
1,26.001,3.866,0.115,0.591,3
1,20.323,-2.57,0.114,0.686,5
0,20.085,1.299,0.123,0.57,5
0,20.052,-0.302,0.132,0.433,6
1,235.66,-1.789,0.001,0.998,2
0,21.977,-1.752,0.125,0.483,7
1,50.224,2.925,0.05,0.711,2
0,26.486,3.615,0.096,0.723,2
1,24.571,3.583,0.087,0.836,2
0,31.623,-1.304,0.048,0.756,5
1,48.427,2.663,0.02,0.972,2
0,21.621,-1.003,0.07,0.709,4
1,22.171,3.834,0.126,0.713,2
0,20.867,-1.19,0.089,0.703,4
1,20.845,-3.607,0.129,0.723,2
1,24.756,4.112,0.09,0.777,2
0,26.103,-3.648,0.101,0.588,3
0,22.132,1.24,0.095,0.425,7
0,25.08,-2.694,0.109,0.717,3
1,38.354,-3.75,0.041,0.935,2
1,33.426,3.665,0.055,0.756,3
1,51.307,-3.373,0.029,0.911,2
0,26.209,-1.16,0.098,0.657,6
1,23.999,-3.149,0.113,0.735,2
0,25.274,2.322,0.097,0.58,6
1,30.264,3.046,0.062,0.849,2
1,25.52,-2.82,0.108,0.686,3
0,20.414,2.086,0.123,0.331,12
0,20.97,0.449,0.099,0.542,8
0,23.551,-4.252,0.081,0.845,2
0,29.893,-3.79,0.064,0.886,2
1,22.356,2.942,0.134,0.714,2
1,24.348,3.714,0.068,0.759,3
1,81.875,-3.251,0.017,0.938,2
0,24.168,-1.787,0.108,0.392,8
0,20.613,2.852,0.143,0.628,3
0,26.319,2.741,0.12,0.707,2
0,23.764,-1.737,0.111,0.541,6
0,25.046,0.58,0.119,0.398,10
1,59.589,-0.367,0.018,0.965,2
1,20.793,3.503,0.152,0.71,2
1,115.044,2.779,0.02,0.838,2
1,55.679,2.995,0.048,0.799,2
1,30.912,3.166,0.079,0.746,2
1,24.987,4.42,0.088,0.859,2
0,29.359,3.091,0.084,0.825,2
1,25.743,3.265,0.094,0.6,3
0,23.553,0.227,0.121,0.469,6
0,21.935,2.388,0.122,0.35,13
0,23.24,1.179,0.072,0.695,5
0,21.872,1.243,0.12,0.513,5
1,28.782,-3.366,0.092,0.753,2
