background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 0,    23.994,     4.262,     2.734,     0.089,     0.831,    2
 0,    23.450,     4.462,     3.675,     0.143,     0.762,    2
 0,    21.733,     4.036,     0.000,     0.000,     1.000,    1
 0,    23.124,    -3.229,     2.862,     0.122,     0.715,    2
 0,    22.034,    -3.663,     3.040,     0.125,     0.764,    2
 0,    22.026,    -4.446,     0.000,     0.000,     1.000,    1
 1,   425.164,     0.288,    21.123,     0.010,     0.952,   13
 1,   408.922,    -0.401,    34.993,     0.033,     0.931,   10
 1,    79.602,    -3.574,     7.396,     0.048,     0.932,    2
 0,    54.008,     3.756,     9.957,     0.135,     0.580,    4
 0,    28.670,    -1.943,     7.198,     0.230,     0.216,   28
 0,    33.779,     0.787,     8.038,     0.200,     0.299,   21
 0,    36.089,    -1.215,     8.620,     0.213,     0.260,   20
 0,    41.171,     2.835,     3.588,     0.064,     0.761,    3
 0,    36.852,     4.288,     5.703,     0.151,     0.723,    2
 0,    22.690,    -4.056,     0.000,     0.000,     1.000,    1
 0,    50.661,    -2.683,    10.109,     0.179,     0.514,    7
 1,    52.268,    -1.459,     7.956,     0.095,     0.502,   12
 0,    32.407,    -1.747,     7.472,     0.210,     0.273,   21
 1,    54.199,    -4.492,     0.000,     0.000,     1.000,    1
 0,    28.279,     0.500,     5.749,     0.176,     0.428,   16
 0,   478.459,     0.443,    35.702,     0.025,     0.939,   14
 0,   101.287,    -0.326,    15.150,     0.105,     0.724,   10
 0,    30.958,     0.786,     7.431,     0.221,     0.287,   21
 0,    33.263,     1.251,     7.776,     0.217,     0.264,   21
 0,    24.814,    -1.157,     5.896,     0.209,     0.258,   20
 1,    40.737,     3.107,     6.988,     0.154,     0.473,    5
 0,    21.359,     0.784,     5.763,     0.247,     0.296,   16
 0,    21.793,    -1.516,     5.033,     0.209,     0.330,   16
 0,    40.248,     4.208,     6.938,     0.171,     0.707,    2
 0,    24.496,     4.311,     0.000,     0.000,     1.000,    1
 1,    23.703,    -3.666,     2.866,     0.108,     0.615,    3
 0,   456.464,     0.909,    24.185,     0.016,     0.956,   12
 1,    28.524,    -3.652,     0.000,     0.000,     1.000,    1
 1,    26.499,     3.688,     2.428,     0.084,     0.758,    2
 1,   145.672,     3.145,    28.331,     0.142,     0.535,    9
 0,    59.008,     2.547,    11.303,     0.164,     0.346,   17
 0,    42.090,    -2.432,    10.989,     0.245,     0.293,   24
 0,    38.434,     0.676,     6.846,     0.134,     0.504,   16
 0,    41.346,     1.099,     8.833,     0.195,     0.354,   17
 0,    33.322,     0.885,     8.602,     0.239,     0.268,   21
 0,    46.914,    -0.575,    10.316,     0.200,     0.276,   19
 0,    24.058,     0.710,     5.535,     0.211,     0.277,   20
 0,    21.602,     0.162,     4.877,     0.208,     0.289,   17
 0,    20.872,     4.239,     1.459,     0.068,     0.728,    2
 1,   514.721,    -1.008,    26.316,     0.014,     0.945,   15
 1,   239.069,     0.602,    25.776,     0.049,     0.854,   14
 1,    82.964,     3.025,     7.680,     0.059,     0.731,    3
 0,    26.164,    -0.171,     6.814,     0.236,     0.279,   19
 0,    26.747,     0.648,     5.925,     0.203,     0.327,   20
 0,    20.384,    -0.152,     3.974,     0.168,     0.416,   15
 1,    30.816,    -3.094,     1.898,     0.044,     0.699,    3
 0,   364.842,    -0.741,    22.813,     0.015,     0.958,   10
 0,   308.214,    -0.035,    17.088,     0.017,     0.968,    8
 0,    45.403,    -1.531,     6.044,     0.098,     0.422,   14
 0,    39.376,    -0.695,     7.641,     0.170,     0.290,   19
 0,    26.283,     2.572,     5.686,     0.188,     0.310,   13
 0,    22.420,     0.553,     4.192,     0.149,     0.416,   15
 0,    23.751,    -1.081,     4.255,     0.149,     0.686,    6
 0,    32.302,    -2.958,     4.812,     0.140,     0.690,    3
 1,    28.338,     4.319,     0.000,     0.000,     1.000,    1
 1,    21.171,    -3.100,     0.568,     0.013,     0.936,    2
 0,    31.482,    -0.977,     8.691,     0.259,     0.285,   19
 0,    20.585,     0.293,     3.498,     0.138,     0.395,   15
 0,    29.216,    -0.510,     5.620,     0.179,     0.331,   16
 0,    24.281,     1.361,     4.476,     0.167,     0.365,   13
 0,    20.650,    -1.980,     4.933,     0.223,     0.249,   20
 0,    29.479,    -4.463,     0.000,     0.000,     1.000,    1
 0,    24.162,     4.111,     0.000,     0.000,     1.000,    1
 1,   116.485,     3.071,     8.735,     0.050,     0.600,    4
 0,    66.958,     1.214,    16.053,     0.215,     0.224,   28
 1,    62.224,    -1.530,     8.487,     0.102,     0.485,    9
 0,    32.699,     1.082,     7.037,     0.183,     0.393,   23
 0,    36.347,     0.135,     8.857,     0.231,     0.302,   17
 0,    22.674,    -0.592,     5.793,     0.235,     0.265,   17
 0,    40.192,     2.748,     6.247,     0.130,     0.513,    6
 0,    28.904,    -2.659,     4.749,     0.138,     0.509,    6
 0,    34.324,     3.518,     6.476,     0.164,     0.462,    5
 1,    22.685,    -3.516,     3.111,     0.119,     0.788,    2
 0,    21.387,    -2.987,     1.892,     0.074,     0.806,    2
 1,   628.179,    -1.073,    55.639,     0.035,     0.878,   21
 1,    90.884,     2.614,     8.344,     0.054,     0.797,    8
 0,    38.442,    -1.153,     7.808,     0.192,     0.480,   11
 0,    26.298,    -0.700,     6.531,     0.223,     0.263,   22
 0,    34.337,     0.302,     6.709,     0.167,     0.329,   21
