background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 0,   377.835,    -0.741,    22.904,     0.014,     0.962,    8
 0,   318.761,    -0.035,    16.189,     0.015,     0.976,    5
 0,    45.178,    -1.540,     5.286,     0.082,     0.481,    9
 0,    24.926,     2.579,     5.448,     0.191,     0.327,   11
 0,    22.598,     0.526,     5.887,     0.237,     0.369,   12
 0,    23.784,     0.459,     4.372,     0.144,     0.502,    8
 0,    26.200,    -0.612,     4.203,     0.132,     0.387,    9
 0,    21.214,    -2.472,     4.151,     0.190,     0.520,    8
 0,    26.291,    -0.483,     5.232,     0.186,     0.469,    6
 0,    21.656,    -0.760,     3.298,     0.119,     0.418,    8
 1,    28.338,     4.319,     0.000,     0.000,     1.000,    1
 0,    23.031,    -3.007,     2.943,     0.086,     0.881,    2
 1,    21.171,    -3.100,     0.568,     0.013,     0.936,    2
 0,    32.182,    -0.500,     6.650,     0.190,     0.350,   14
 0,    27.091,     0.301,     4.247,     0.130,     0.425,    9
 0,    30.984,    -1.112,     6.514,     0.178,     0.317,   12
 0,    29.479,    -4.463,     0.000,     0.000,     1.000,    1
 1,   120.665,     3.071,     9.048,     0.050,     0.600,    4
 0,    77.146,     1.233,    18.486,     0.216,     0.233,   24
 0,    32.969,     0.210,     8.305,     0.235,     0.309,   15
 1,    48.129,    -1.502,     3.508,     0.045,     0.630,    5
 0,    36.821,     1.145,     6.655,     0.126,     0.507,   11
 0,    40.029,     3.518,     7.553,     0.164,     0.462,    5
 0,    23.275,    -3.215,     2.892,     0.110,     0.524,    5
 1,    22.685,    -3.516,     3.111,     0.119,     0.788,    2
 0,    23.410,    -2.626,     3.666,     0.131,     0.612,    5
 0,    28.847,    -2.987,     2.553,     0.074,     0.806,    2
 1,   656.212,    -1.075,    55.218,     0.031,     0.885,   18
 1,    90.544,     2.621,     7.271,     0.043,     0.820,    6
 0,    36.379,     1.119,     5.150,     0.113,     0.582,    9
 0,    35.487,    -1.072,     7.479,     0.195,     0.621,    8
 0,    24.398,     0.336,     5.411,     0.183,     0.356,   15
 0,    36.164,    -2.840,     5.788,     0.137,     0.483,    7
 0,    32.905,    -0.748,     7.018,     0.195,     0.339,   13
 0,    23.178,    -0.104,     6.038,     0.250,     0.337,   13
 0,    23.504,    -0.311,     4.780,     0.187,     0.361,   11
 0,    29.511,    -0.861,     7.221,     0.223,     0.384,    9
 0,    23.320,    -0.413,     3.832,     0.154,     0.514,    7
 0,    24.091,    -4.140,     4.259,     0.166,     0.744,    2
 0,    23.880,     2.987,     3.385,     0.139,     0.582,    3
 0,    22.829,    -4.242,     3.283,     0.126,     0.781,    2
 0,   319.171,    -0.834,    16.442,     0.014,     0.981,    7
 0,   275.312,     0.927,    23.435,     0.031,     0.921,   12
 0,    27.945,     0.945,     7.783,     0.262,     0.335,   18
 0,    26.577,     1.263,     5.516,     0.193,     0.306,   16
 0,    25.326,    -0.596,     5.516,     0.196,     0.306,   15
 0,    21.727,    -0.152,     4.701,     0.203,     0.443,    9
 1,    24.514,    -4.473,     0.000,     0.000,     1.000,    1
 1,   906.444,    -1.042,    24.006,     0.005,     0.983,    7
 1,    89.621,     2.870,    10.002,     0.111,     0.709,    2
 1,    60.194,    -3.145,     6.253,     0.057,     0.668,    3
 0,    20.335,    -0.250,     3.371,     0.128,     0.548,    7
 0,    23.681,    -3.871,     2.356,     0.053,     0.927,    2
 1,   296.446,    -1.096,    22.751,     0.025,     0.923,   10
 0,    45.696,    -0.337,    12.175,     0.251,     0.351,   14
 0,    22.591,    -0.942,     4.245,     0.171,     0.410,   11
 1,    23.355,     3.428,     0.000,     0.000,     1.000,    1
 0,    21.577,    -2.936,     4.346,     0.196,     0.705,    3
 1,    66.736,     3.241,    14.030,     0.198,     0.546,    5
 0,    23.129,    -1.983,     4.708,     0.182,     0.300,   16
 0,    28.317,     0.672,     4.851,     0.152,     0.411,    7
 0,    21.938,     3.110,     2.842,     0.105,     0.635,    6
 0,    20.203,     0.195,     2.506,     0.109,     0.612,    5
 0,  1009.871,    -0.278,    34.315,     0.006,     0.987,    8
 1,    21.464,    -2.356,     2.695,     0.096,     0.498,   11
 0,    21.915,     0.600,     4.992,     0.212,     0.463,    9
 0,    26.374,     1.143,     1.894,     0.031,     0.954,    3
 0,    24.656,     1.107,     4.654,     0.152,     0.575,    7
 0,    23.686,    -0.451,     4.773,     0.174,     0.379,   10
 1,    23.298,     4.166,     0.000,     0.000,     1.000,    1
 0,    20.574,     3.164,     1.544,     0.066,     0.783,    2
 1,    35.738,    -2.129,     4.386,     0.088,     0.618,   14
 0,    36.213,    -0.415,     5.031,     0.110,     0.410,   11
 0,    20.240,     1.112,     5.283,     0.245,     0.367,   10
 1,   515.278,    -1.548,    23.499,     0.009,     0.969,    7
 0,   156.563,    -0.343,    16.619,     0.053,     0.850,    9
 1,    82.198,    -2.668,     8.541,     0.074,     0.695,    4
 0,    27.863,     1.802,     6.288,     0.187,     0.287,   17
 0,    21.039,    -1.129,     3.423,     0.131,     0.430,    8
 0,    26.264,    -4.259,     0.000,     0.000,     1.000,    1
 0,    21.762,     4.361,     1.088,     0.049,     0.714,    2
 1,   344.741,     0.484,     3.036,     0.002,     0.985,    2
 0,    30.587,     2.546,     8.168,     0.249,     0.376,   11
 0,    23.520,    -0.708,     5.075,     0.188,     0.350,   13
 0,    26.798,    -0.438,     6.148,     0.216,     0.367,   10
 0,    33.224,     1.155,     1.556,     0.029,     0.879,    4
 1,    25.909,    -4.258,     0.000,     0.000,     1.000,    1
 0,    25.137,     3.096,     4.160,     0.150,     0.649,    3
 1,   799.525,    -0.627,    44.254,     0.030,     0.718,   11
 1,   128.048,    -0.339,    13.333,     0.074,     0.779,    7
 0,    47.164,     0.953,    11.686,     0.223,     0.294,   13
 1,    57.741,     3.514,     1.301,     0.023,     0.707,    2
 0,    34.193,     1.356,     5.310,     0.115,     0.671,    6
 0,    21.624,    -3.134,     0.987,     0.033,     0.860,    2
 0,    39.187,    -1.062,     9.605,     0.231,     0.402,   11
 0,    31.949,     0.463,     6.414,     0.158,     0.508,    9
 1,    45.586,    -3.528,     4.519,     0.076,     0.839,    2
 0,    20.167,     0.921,     4.805,     0.220,     0.315,   14
 1,    50.039,     4.263,     0.000,     0.000,     1.000,    1
 0,    32.478,    -0.182,     7.132,     0.198,     0.394,    7
 0,    26.355,     4.155,     0.000,     0.000,     1.000,    1
 0,    22.879,     4.033,     4.229,     0.183,     0.711,    2
 0,    20.298,     4.205,     0.000,     0.000,     1.000,    1
 1,   280.831,    -1.160,    16.151,     0.015,     0.965,    7
 0,    31.037,     1.659,     8.480,     0.257,     0.224,   25
 1,    28.886,     2.334,     4.270,     0.125,     0.337,   14
 0,    30.890,    -1.305,     5.984,     0.153,     0.555,   13
 0,    31.303,     1.091,     4.868,     0.130,     0.494,    8
 1,    38.070,    -3.494,     2.730,     0.044,     0.900,    2
 0,    30.451,     0.518,     6.337,     0.197,     0.464,    9
 0,    22.279,    -0.829,     4.170,     0.174,     0.323,   12
 0,    39.890,     2.936,     5.073,     0.084,     0.652,    4
 0,    27.998,    -0.248,     6.631,     0.220,     0.393,    9
 0,    26.510,     3.981,     0.000,     0.000,     1.000,    1
 1,  1073.812,    -0.059,    15.551,     0.003,     0.980,    4
