background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,83.712,4.964,0.05,0.8,2
1,54.653,4.315,0.071,0.59,3
0,33.005,6.924,0.203,0.582,4
1,33.781,3.894,0.067,0.749,3
0,29.774,2.694,0.065,0.862,2
0,21.458,1.693,0.07,0.78,2
0,30.603,5.547,0.162,0.558,4
1,67.597,11.417,0.159,0.588,3
0,24.73,3.923,0.141,0.775,2
0,24.937,3.336,0.121,0.698,3
0,21.008,0.0,0.0,1.0,1
1,53.717,0.0,0.0,1.0,1
1,146.18,19.36,0.092,0.688,4
0,23.201,0.876,0.035,0.75,2
0,31.463,5.498,0.146,0.623,3
1,37.72,0.0,0.0,1.0,1
1,54.675,0.974,0.016,0.771,2
0,31.807,4.989,0.156,0.707,2
0,34.837,5.375,0.129,0.558,4
1,181.16,19.813,0.083,0.825,3
1,39.309,1.507,0.029,0.84,2
0,40.511,5.37,0.123,0.678,3
0,20.599,2.414,0.116,0.71,2
1,40.153,4.658,0.086,0.849,2
0,43.827,3.028,0.064,0.609,4
1,313.969,18.073,0.025,0.845,4
0,60.227,9.183,0.137,0.578,4
0,24.531,3.687,0.13,0.588,3
0,26.201,3.673,0.132,0.589,3
1,154.515,17.579,0.073,0.749,4
0,28.084,6.079,0.206,0.441,6
0,35.577,7.614,0.205,0.632,3
0,21.928,4.591,0.199,0.581,3
1,78.577,0.788,0.008,0.807,2
0,20.379,2.503,0.109,0.777,2
0,74.198,12.841,0.15,0.579,4
0,24.237,2.96,0.107,0.783,2
0,43.241,6.474,0.142,0.604,3
0,30.578,4.569,0.147,0.606,3
1,174.084,22.0,0.105,0.678,6
0,33.31,5.936,0.155,0.528,4
1,30.973,2.086,0.06,0.78,2
1,70.371,7.882,0.103,0.706,3
1,62.606,9.803,0.117,0.578,4
0,26.772,3.726,0.13,0.51,4
0,47.841,7.457,0.141,0.687,3
0,22.294,3.243,0.119,0.584,3
1,151.447,14.12,0.063,0.596,7
0,22.939,3.793,0.156,0.741,2
1,53.826,5.155,0.074,0.836,2
1,151.719,0.0,0.0,1.0,1
1,25.99,1.068,0.031,0.849,2
0,21.746,1.661,0.076,0.588,3
0,21.607,1.344,0.059,0.739,2
1,89.232,3.684,0.036,0.789,2
1,51.447,5.749,0.098,0.623,3
0,31.067,5.482,0.16,0.517,5
0,32.055,5.341,0.153,0.76,2
0,21.1,0.0,0.0,1.0,1
0,25.649,4.718,0.162,0.547,4
0,22.783,3.326,0.141,0.609,3
0,36.779,3.941,0.1,0.749,2
0,21.051,2.124,0.099,0.719,2
1,29.096,0.0,0.0,1.0,1
0,32.304,4.846,0.141,0.547,4
1,57.614,6.395,0.073,0.71,3
0,28.911,4.306,0.145,0.585,3
1,118.07,11.588,0.064,0.774,5
0,49.214,5.511,0.098,0.559,4
0,37.788,5.54,0.129,0.781,2
0,37.159,4.374,0.09,0.673,3
0,23.869,3.053,0.119,0.582,3
1,77.774,14.022,0.152,0.453,7
1,148.807,5.407,0.024,0.801,3
1,126.683,12.989,0.067,0.879,3
0,46.906,6.434,0.133,0.578,3
1,152.816,3.149,0.016,0.844,2
0,36.285,3.598,0.088,0.669,3
0,21.664,0.0,0.0,1.0,1
1,20.708,2.766,0.127,0.739,2
1,367.339,7.832,0.021,0.711,2
0,22.4,0.0,0.0,1.0,1
1,154.224,12.09,0.053,0.638,4
1,49.388,0.0,0.0,1.0,1
1,161.226,9.834,0.039,0.828,3
0,31.06,2.41,0.064,0.812,2
1,226.967,23.144,0.08,0.673,6
0,27.292,5.682,0.2,0.582,3
1,41.451,0.0,0.0,1.0,1
1,84.99,8.031,0.065,0.64,3
0,22.658,3.872,0.152,0.774,2
1,59.862,2.146,0.018,0.934,2
0,47.73,9.224,0.168,0.493,5
1,111.53,3.917,0.03,0.67,4
0,35.543,4.184,0.096,0.629,3
0,43.026,8.382,0.185,0.608,3
1,40.384,7.357,0.168,0.519,5
1,48.991,0.0,0.0,1.0,1
0,34.26,2.953,0.075,0.628,3
1,20.031,1.693,0.083,0.722,2
1,88.482,0.0,0.0,1.0,1
0,63.729,9.059,0.123,0.706,3
0,21.444,2.66,0.11,0.692,3
1,180.904,22.946,0.083,0.624,5
0,50.989,8.307,0.141,0.426,7
0,27.506,0.0,0.0,1.0,1
0,36.276,4.341,0.101,0.731,3
0,35.096,6.494,0.168,0.639,3
1,61.232,5.009,0.078,0.62,3
1,116.28,9.121,0.058,0.692,3
