background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,26.36,5.688,0.205,0.274,17
0,21.498,5.276,0.228,0.306,14
1,343.907,18.809,0.016,0.935,13
1,100.515,11.503,0.064,0.82,14
1,361.584,20.679,0.013,0.966,8
1,568.434,30.535,0.014,0.935,11
0,119.196,12.72,0.045,0.856,10
0,32.298,7.321,0.209,0.315,17
1,239.753,15.77,0.02,0.912,11
1,37.94,2.593,0.034,0.909,6
0,35.12,7.686,0.196,0.338,13
1,303.739,26.87,0.038,0.93,10
0,26.017,4.297,0.13,0.352,13
1,613.74,23.53,0.008,0.881,7
0,39.242,7.007,0.17,0.388,15
0,20.707,4.336,0.192,0.316,14
0,87.094,9.337,0.057,0.562,12
0,21.196,4.242,0.178,0.326,13
0,20.229,3.725,0.169,0.322,17
0,47.776,8.436,0.13,0.46,12
1,130.062,6.92,0.022,0.943,4
1,204.465,14.33,0.032,0.756,7
0,24.575,6.115,0.227,0.304,17
1,22.107,3.248,0.122,0.396,13
1,138.773,16.858,0.078,0.566,12
1,237.464,14.451,0.028,0.723,9
0,22.008,4.262,0.178,0.291,20
1,107.695,9.063,0.034,0.883,9
0,130.768,15.997,0.071,0.471,16
1,94.153,6.322,0.026,0.922,7
0,54.006,9.08,0.142,0.325,17
1,122.353,13.339,0.082,0.405,11
0,22.525,5.09,0.211,0.263,19
0,20.657,4.098,0.181,0.307,15
1,104.189,10.213,0.05,0.917,8
0,25.455,5.121,0.178,0.282,18
0,21.676,4.474,0.192,0.313,14
0,30.092,7.512,0.228,0.306,17
1,49.51,9.137,0.159,0.449,17
0,34.095,7.316,0.195,0.312,13
0,30.061,6.99,0.217,0.254,21
1,136.833,24.201,0.154,0.284,20
0,27.695,6.35,0.193,0.329,16
0,22.514,4.829,0.197,0.398,14
1,72.291,6.746,0.048,0.423,12
1,70.638,8.528,0.071,0.791,12
1,22.055,1.321,0.034,0.844,5
1,300.865,22.12,0.026,0.923,10
1,55.023,8.422,0.135,0.596,10
1,74.221,16.171,0.195,0.397,21
0,25.149,5.915,0.208,0.263,20
1,28.886,4.27,0.125,0.337,14
1,276.571,21.464,0.025,0.947,11
0,86.035,7.251,0.033,0.935,4
0,22.62,3.393,0.121,0.355,17
0,29.841,6.58,0.206,0.349,15
0,309.922,25.614,0.046,0.703,18
1,102.77,16.627,0.124,0.279,31
0,21.406,3.434,0.127,0.327,17
0,21.675,5.699,0.244,0.324,15
1,34.306,4.422,0.11,0.494,9
1,124.576,7.632,0.019,0.937,6
1,544.683,45.876,0.043,0.641,18
0,35.588,8.641,0.221,0.202,32
1,76.75,11.042,0.107,0.434,18
1,108.587,10.406,0.047,0.869,7
0,72.461,9.053,0.081,0.449,17
1,34.402,5.779,0.125,0.336,20
1,74.55,9.848,0.093,0.465,10
1,263.307,29.713,0.05,0.669,12
0,22.513,5.178,0.208,0.361,15
0,27.82,7.439,0.245,0.249,26
0,30.987,7.205,0.21,0.235,23
1,80.834,10.113,0.094,0.526,17
1,117.027,13.214,0.061,0.849,11
0,25.197,5.62,0.204,0.261,20
1,22.025,3.67,0.15,0.368,14
0,24.735,5.038,0.185,0.227,25
1,324.183,33.605,0.07,0.512,13
0,20.156,4.614,0.215,0.323,13
0,22.589,1.676,0.05,0.734,8
1,64.29,10.042,0.13,0.383,20
1,189.996,25.169,0.078,0.561,19
0,23.728,4.635,0.182,0.39,13
0,28.185,5.161,0.171,0.416,14
1,263.852,13.999,0.012,0.964,6
0,22.59,5.26,0.208,0.331,12
1,102.448,5.893,0.021,0.945,4
0,29.715,7.269,0.227,0.22,26
1,35.121,5.344,0.113,0.386,14
0,30.467,4.774,0.131,0.286,18
1,78.528,12.711,0.133,0.488,15
1,136.272,7.328,0.022,0.952,5
0,20.033,3.009,0.116,0.433,11
1,28.287,7.211,0.234,0.275,28
1,268.827,16.764,0.021,0.931,12
1,106.071,19.518,0.137,0.394,26
0,25.506,4.931,0.17,0.295,14
0,25.318,5.358,0.193,0.28,19
0,21.957,5.361,0.218,0.325,18
1,291.704,15.788,0.017,0.964,6
0,28.983,5.603,0.169,0.259,23
1,160.633,18.201,0.052,0.627,15
0,125.523,17.904,0.093,0.461,21
0,21.908,3.47,0.124,0.4,12
1,71.367,14.094,0.176,0.248,27
0,20.626,3.864,0.166,0.291,16
1,469.17,12.668,0.01,0.847,5
1,36.331,6.941,0.154,0.352,15
1,149.384,17.55,0.083,0.68,16
1,152.365,12.936,0.067,0.422,10
0,20.862,3.614,0.154,0.398,10
1,129.134,9.256,0.032,0.888,7
1,65.271,11.928,0.126,0.537,20
1,112.557,6.997,0.032,0.63,9
0,29.573,6.196,0.174,0.301,19
0,321.446,14.094,0.012,0.952,5
0,42.93,10.37,0.225,0.25,21
1,337.136,18.602,0.018,0.951,6
0,21.146,5.026,0.216,0.288,15
0,43.858,5.832,0.087,0.512,15
1,123.063,17.657,0.089,0.721,12
1,224.215,15.607,0.024,0.9,11
1,265.225,18.793,0.03,0.737,13
0,20.125,4.522,0.191,0.367,15
1,45.008,7.682,0.141,0.445,15
1,92.853,16.708,0.127,0.681,16
0,27.589,5.448,0.174,0.311,18
1,39.581,8.91,0.211,0.274,20
0,34.661,7.715,0.186,0.244,24
1,195.61,18.402,0.061,0.507,12
1,431.954,16.488,0.009,0.967,6
0,39.796,6.772,0.134,0.326,18
0,21.653,2.864,0.107,0.394,9
1,444.049,50.202,0.079,0.479,28
1,231.218,15.648,0.028,0.909,14
1,206.864,18.861,0.039,0.892,13
0,22.352,5.508,0.235,0.486,12
1,260.585,8.82,0.008,0.961,5
0,26.576,2.2,0.064,0.61,7
1,269.841,16.193,0.027,0.711,8
0,81.793,11.882,0.109,0.398,14
0,28.378,4.503,0.134,0.451,12
1,258.13,30.465,0.067,0.592,23
1,181.954,23.657,0.072,0.801,21
0,20.637,3.376,0.12,0.485,11
0,21.019,4.538,0.202,0.366,10
1,326.593,36.051,0.082,0.557,22
1,67.246,8.744,0.09,0.543,9
1,236.547,12.594,0.019,0.93,10
1,92.18,10.803,0.09,0.434,15
1,331.362,24.011,0.026,0.931,10
0,21.608,4.74,0.193,0.238,23
0,22.198,5.129,0.202,0.286,21
1,368.048,32.043,0.051,0.697,18
0,27.148,6.977,0.239,0.264,24
0,20.534,4.995,0.224,0.381,12
1,335.573,42.544,0.07,0.807,12
0,28.708,7.896,0.261,0.268,22
1,188.203,11.44,0.022,0.9,11
1,288.553,13.721,0.012,0.976,5
0,24.857,3.881,0.126,0.504,8
1,52.194,4.65,0.063,0.564,11
0,21.327,4.84,0.211,0.283,16
1,346.028,32.043,0.042,0.881,14
0,20.866,4.86,0.215,0.289,17
1,200.037,20.816,0.055,0.829,14
0,23.404,5.413,0.201,0.256,20
0,20.221,2.904,0.102,0.563,8
0,21.897,4.18,0.152,0.366,13
1,129.327,18.537,0.109,0.525,20
1,101.383,5.706,0.017,0.943,4
1,392.512,13.114,0.008,0.97,7
1,168.39,18.564,0.085,0.553,10
1,34.212,4.803,0.09,0.451,10
0,22.089,4.663,0.184,0.262,18
1,255.544,11.265,0.011,0.975,7
0,23.574,6.121,0.242,0.255,23
1,311.145,19.067,0.024,0.937,8
1,379.362,36.57,0.039,0.702,15
0,350.455,20.924,0.017,0.82,9
1,154.585,13.945,0.04,0.88,11
1,60.865,7.437,0.104,0.496,12
1,90.905,6.67,0.038,0.906,9
0,22.965,5.036,0.205,0.283,16
0,22.671,4.624,0.183,0.327,15
0,36.336,7.028,0.173,0.327,17
0,35.12,4.25,0.096,0.408,11
0,41.034,9.433,0.201,0.312,13
1,302.315,21.644,0.024,0.941,9
1,227.232,15.279,0.028,0.931,11
0,21.358,4.124,0.176,0.368,13
0,25.778,3.401,0.083,0.498,10
