background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,25.108,3.792,0.139,0.757,2
0,25.986,6.408,0.225,0.432,9
0,25.975,6.085,0.205,0.443,6
1,83.462,8.36,0.062,0.641,4
0,21.243,3.301,0.139,0.683,5
0,23.045,4.937,0.194,0.418,8
0,75.218,11.551,0.117,0.542,6
1,138.851,6.173,0.017,0.846,5
0,30.635,6.644,0.2,0.416,7
0,37.294,5.017,0.124,0.65,3
1,161.437,20.331,0.099,0.483,6
0,38.905,7.518,0.168,0.493,5
0,20.845,0.993,0.036,0.848,2
0,26.976,4.451,0.146,0.416,10
0,34.584,3.977,0.099,0.642,5
1,31.196,4.037,0.125,0.581,3
1,51.848,5.736,0.082,0.695,3
1,76.922,9.946,0.058,0.836,4
1,34.191,0.746,0.02,0.765,2
0,28.326,3.284,0.088,0.656,4
1,144.028,22.728,0.116,0.576,6
0,44.696,9.256,0.175,0.489,10
1,20.249,2.338,0.079,0.777,3
